,StudentID,Timestamp,state,prop,leaning,topUrl,isRelevant,isAd,non_us_loc,issues
0,0,2020-10-30 09:09:55,CA,22,1,https://yeson22.com/?gclid=CjwKCAjw8-78BRA0EiwAFUw8LCCo46u1v2spw-run-3no2b3s_WksiITZT6WxIiVUGFHYM9_lCjt1RoC99MQAvD_BwE,TRUE,TRUE,,"Not related to data collection, but I could not include my time zone when answering the ""What time did you perform the search?"" question. "
0,0,2020-10-30 09:09:55,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,"Not related to data collection, but I could not include my time zone when answering the ""What time did you perform the search?"" question. "
1,1,2020-10-30 09:15:31,CA,22,1,https://yeson22.com/?gclid=CjwKCAjw8-78BRA0EiwAFUw8LF9AGMpTq-9lWQyJqAXobUgpGxjf1yHrvdVpVJEUnIL08bTDGe_1jRoCIGkQAvD_BwE,TRUE,TRUE,,
1,1,2020-10-30 09:15:31,CA,24,0,"https://ballotpedia.org/California_Proposition_24,_Consumer_Personal_Information_Law_and_Agency_Initiative_(2020)",TRUE,FALSE,,
2,2,2020-10-30 09:17:12,Intl,22,0,"https://ballotpedia.org/California_Proposition_22,_App-Based_Drivers_as_Contractors_and_Labor_Policies_Initiative_(2020)",TRUE,FALSE,South Korea,
2,2,2020-10-30 09:17:12,Intl,24,-1,https://www.nytimes.com/2020/10/28/opinion/california-prop-24-privacy.html,TRUE,FALSE,South Korea,
3,3,2020-10-30 09:19:50,CA,22,1,https://yeson22.com/?gclid=CjwKCAjw8-78BRA0EiwAFUw8LL3AfFuT-RZkEZ9BQkmBTIZL_vnFcP3olgcriB7qcxOXCr9rDaatyhoC14EQAvD_BwE,TRUE,TRUE,,
3,3,2020-10-30 09:19:50,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,
4,4,2020-10-30 09:20:25,CA,22,0,"https://ballotpedia.org/California_Proposition_22,_App-Based_Drivers_as_Contractors_and_Labor_Policies_Initiative_(2020)",TRUE,FALSE,,
4,4,2020-10-30 09:20:25,CA,24,0,"https://ballotpedia.org/California_Proposition_24,_Consumer_Personal_Information_Law_and_Agency_Initiative_(2020)",TRUE,FALSE,,
