date,query,num,base,fname,type,title,text,url,sub_rank,paid_by
10/28/2020,prop 14 explained,14,explained,prop 14 explained.html,knowledge,Prop 14 Analysis | Official Voter Information Guide | California ...,Proposition 14 allows the state to sell $5.5 billion in general obligation bonds. The bonds primarily would fund additional grants to support research and the development of treatments (including clinical trials) for many diseases.,"https://voterguide.sos.ca.gov/propositions/14/analysis.htm#:~:text=Proposition%2014%20allows%20the%20state,clinical%20trials)%20for%20many%20diseases.",0,
10/28/2020,prop 14 explained,14,explained,prop 14 explained.html,general,Prop 14 Analysis | Official Voter Information Guide | California ...,,"https://voterguide.sos.ca.gov/propositions/14/analysis.htm#:~:text=Proposition%2014%20allows%20the%20state,clinical%20trials)%20for%20many%20diseases.",0,
10/28/2020,prop 14 explained,14,explained,prop 14 explained.html,general,California Proposition 14: Stem cell research funding ...,"Proposition 14 would generate money to keep open stem cell agency, the California Institute for ... California's (mostly) all-mail 2020 election, explained.",https://calmatters.org/election-2020-guide/proposition-14-stem-cell-research/,2,
10/28/2020,prop 14 explained,14,explained,prop 14 explained.html,general,"Prop 14, pros and cons: CA's Stem Cell research prop ...","Oct 13, 2020 — California's Proposition 14 will be on the ballot for the 2020 election. The prop ... What does a YES vote on Prop 14 mean? A yes vote approves ...",https://www.abc10.com/article/news/local/california/prop-14-2020-election/103-49a1e4ca-4ace-4e93-9ebe-33298d55a67c,3,
10/28/2020,prop 14 explained,14,explained,prop 14 explained.html,general,"California Proposition 14, Stem Cell Research Institute Bond ...",Jump to Ballot summary — The ballot summary is as follows: “. Authorizes $5.5 billion in state general obligation bonds to fund grants from the California ...,"https://ballotpedia.org/California_Proposition_14,_Stem_Cell_Research_Institute_Bond_Initiative_(2020)",4,
10/28/2020,prop 14 explained,14,explained,prop 14 explained.html,general,California Prop. 14 explained: Voters will be asked to continue ...,"Sep 25, 2020 — On Nov. 3, voters will be asked to approve Proposition 14, authorizing $5.5 billion dollars in new bond money for stem cell and other medical ...",https://abc7.com/politics/what-you-need-to-know-about-california-prop-14/6542023/,5,
10/28/2020,prop 14 explained,14,explained,prop 14 explained.html,general,Proposition 14 explained - Action News Now,5 days ago — California voters are deciding 12 ballot measures in this 2020 election. Proposition 14 asks for 5.5 billion dollars to fund stem cell research.,https://www.actionnewsnow.com/content/election-stories/Proposition-14-explained-572846491.html,6,
10/28/2020,prop 14 explained,14,explained,prop 14 explained.html,general,"What You Need to Know About Prop. 14, The Stem Cell ...","Oct 1, 2020 — This episode tackles Prop 14, the stem cell research bond. ... Olivia Allen-Price [00:01:03] We'll explain what all that means, who's for it, who's ...",https://www.kqed.org/news/11840438/everything-you-need-to-know-about-prop-14-the-stem-cell-research-bond,7,
10/28/2020,prop 14 how to vote,14,how to vote,prop 14 how to vote.html,ad,Yes On Proposition 14 - Critical Funding For Diseases,YES On Prop 14 Will Accelerate Research On Cures For Alzheimer's & Cancer. Learn More.,https://caforcures.com/,0,"Paid for by YES ON 14: CALIFORNIANS FOR STEM CELL RESEARCH, TREATMENTS AND CURES"
10/28/2020,prop 14 how to vote,14,how to vote,prop 14 how to vote.html,general,Proposition 14 | Official Voter Information Guide | California ...,YES A YES vote on this measure means: The state could sell $5.5 billion in general obligation bonds primarily for stem cell research and the development of ...,https://voterguide.sos.ca.gov/propositions/14/,0,
10/28/2020,prop 14 how to vote,14,how to vote,prop 14 how to vote.html,general,Your Guide To The Ballot Propositions In California's General ...,3 days ago — Californians have 12 statewide ballot propositions to vote on this year. ... Prop 14 comes with a few stipulations for that funding: No more than ...‎Proposition 14: Stem cell ... · ‎Proposition 18: Allow some ...,https://laist.com/elections/2020/props/your-guide-to-the-california-ballot-propositions-in-the-november-2020-election.php,1,
10/28/2020,prop 14 how to vote,14,how to vote,prop 14 how to vote.html,general,"California Proposition 14, Stem Cell Research Institute Bond ...","Jump to How to cast a vote — A ""no"" vote opposes issuing $5.5 billion general obligation bonds for the state's stem cell research institute, which ran out funds ...‎Support · ‎Opposition · ‎Media editorials · ‎Background","https://ballotpedia.org/California_Proposition_14,_Stem_Cell_Research_Institute_Bond_Initiative_(2020)",2,
10/28/2020,prop 14 how to vote,14,how to vote,prop 14 how to vote.html,general,Prop 14 FAQs | OC Vote - Orange County Registrar of Voters,How Does Proposition 14 Affect the Primary Election? • Proposition 14 provides for a “voter-nominated Primary Election” for each state elective office and ...,https://www.ocvote.com/faqs/prop-14-faqs,3,
10/28/2020,prop 14 how to vote,14,how to vote,prop 14 how to vote.html,general,"Prop 14, pros and cons: CA's Stem Cell research prop ...","Oct 13, 2020 — CALIFORNIA, USA — California Proposition 14 is a vote to approve $5.5 billion dollars for stem cell research and research facilities in the state.",https://www.abc10.com/article/news/local/california/prop-14-2020-election/103-49a1e4ca-4ace-4e93-9ebe-33298d55a67c,4,
10/28/2020,prop 14 how to vote,14,how to vote,prop 14 how to vote.html,general,Ballot propositions in plain language: Props 14 and 15 | KMPH,"6 days ago — That's why we decided to dig a little and let you know what your vote really means if you vote “yes” or “no”. Let's start with Proposition 14, the ...",https://kmph.com/news/election/ballot-propositions-in-plain-language-prop-14,5,
10/28/2020,prop 14 how to vote,14,how to vote,prop 14 how to vote.html,general,2020 Propositions: What California proposition voters need to ...,"Oct 9, 2020 — Proposition 14: Stem Cell Research Institute Bond. Vote yes for this and state taxpayers will be on the hook for $5.5 billion in bonds aimed at ...",https://www.mercurynews.com/california-propositions-what-you-should-know-before-voting,6,
10/28/2020,prop 14 how to vote,14,how to vote,prop 14 how to vote.html,general,Every proposition in California to vote on in November 2020 ...,"Oct 13, 2020 — California Proposition 14 is a vote to approve $5.5 billion dollars for stem cell research and research facilities in the state. In 2004, California ...",https://www.cbs8.com/article/news/politics/elections/election-guide-californias-2020-propositions-props/509-0286ef7e-99ee-4394-bb0b-c3b7e2a2c0c0,7,
10/28/2020,prop 14 how to vote,14,how to vote,prop 14 how to vote.html,general,Support stem cell research in CA: Vote 'yes' on Prop. 14,"Oct 20, 2020 — Passing Prop. 14 would be an important step toward saving lives from incurable diseases.",https://www.dailycal.org/2020/10/20/support-stem-cell-research-in-ca-vote-yes-on-prop-14/,8,
10/28/2020,prop 14 how to vote,14,how to vote,prop 14 how to vote.html,general,2020 California propositions: Everything to know - Los ...,"Proposition 18: Would allow some 17-year-olds to vote ... With Prop. 14, California voters will be asked for more borrowing to keep stem cell research going.",https://www.latimes.com/california/2020-california-ballot-propositions,9,
10/28/2020,prop 14 yes or no,14,yes or no,prop 14 yes or no.html,ad,California YES On Prop 14 - Life-Saving Treatments & Cures,"YES On Prop 14: Endorsed By Scientists, Doctors & 80+ Patient Advocate Groups. Learn More. Learn More: YES On 14 Dedicates Funding To Treatments For Brain Diseases Like...",https://caforcures.com/,0,"Paid for by YES ON 14: CALIFORNIANS FOR STEM CELL RESEARCH, TREATMENTS AND CURES"
10/28/2020,prop 14 yes or no,14,yes or no,prop 14 yes or no.html,general,Proposition 14 | Official Voter Information Guide | California ...,YES A YES vote on this measure means: The state could sell $5.5 billion in ... urge YES on 14. CON No on Prop. 14. Would commit $7.8 billion we cannot afford ...‎Arguments and Rebuttals · ‎Proposition 15 · ‎Analysis · ‎Official Title and Summary,https://voterguide.sos.ca.gov/propositions/14/,0,
10/28/2020,prop 14 yes or no,14,yes or no,prop 14 yes or no.html,general,"Prop 14, pros and cons: CA's Stem Cell research prop ...","Oct 13, 2020 — A yes vote approves $5.5 billion dollars for stem cell research and research facilities. The money will come from a bond. What does a NO vote on ...",https://www.abc10.com/article/news/local/california/prop-14-2020-election/103-49a1e4ca-4ace-4e93-9ebe-33298d55a67c,2,
10/28/2020,prop 14 yes or no,14,yes or no,prop 14 yes or no.html,general,"What You Need to Know About Prop. 14, The Stem Cell ...","Oct 1, 2020 — This episode tackles Prop 14, the stem cell research bond. ... So, essentially, when you vote yes on a bond, you're saying, yes, let's use public ... A vote no means you think we shouldn't spend public money on this research.",https://www.kqed.org/news/11840438/everything-you-need-to-know-about-prop-14-the-stem-cell-research-bond,3,
10/28/2020,prop 14 yes or no,14,yes or no,prop 14 yes or no.html,general,"California Proposition 14, Stem Cell Research Institute Bond ...","California Proposition 14, the Stem Cell Research Institute Bond Initiative, is on the ... A ""yes"" vote supports issuing $5.5 billion general obligation bonds for the ... The ballot initiative would require CIRM to spend no more than 7.5 percent of the ...","https://ballotpedia.org/California_Proposition_14,_Stem_Cell_Research_Institute_Bond_Initiative_(2020)",4,
10/28/2020,prop 14 yes or no,14,yes or no,prop 14 yes or no.html,general,Frequently Asked Questions - Yes on Proposition 14,Proposition 14 is not a tax – it is a general obligation bond repaid from the state's General Fund. General Fund payments on the bonds will be postponed for the ...,https://caforcures.com/faq/,5,
10/28/2020,prop 14 yes or no,14,yes or no,prop 14 yes or no.html,general,What Proposition 14 Tells Us About California - The New York ...,"Oct 15, 2020 — A big block floating near their heads reads, “Yes on 14.” ... of State's office showed that the “No on Proposition 14” committee raised just $250.",https://www.nytimes.com/2020/10/15/us/california-prop-14.html,6,
10/28/2020,prop 14 yes or no,14,yes or no,prop 14 yes or no.html,general,Your Guide To The Ballot Propositions In California's General ...,3 days ago — Prop 14 comes with a few stipulations for that funding: No more than ... Read more arguments in favor of Prop 15 from the Yes on 15 campaign.,https://laist.com/elections/2020/props/your-guide-to-the-california-ballot-propositions-in-the-november-2020-election.php,7,
10/28/2020,prop 14 yes or no,14,yes or no,prop 14 yes or no.html,general,2020 Propositions: What California proposition voters need to ...,"Oct 9, 2020 — Proposition 14: Stem Cell Research Institute Bond. Vote yes for this and state taxpayers will be on the hook for $5.5 billion ... A no vote on Prop.",https://www.mercurynews.com/california-propositions-what-you-should-know-before-voting,8,
10/28/2020,prop 14 yes or no,14,yes or no,prop 14 yes or no.html,general,Vote Yes on Proposition 14. Keep diverse California as a ...,"Proposition 14 would refill CIRM's funding. ... the official Yes on Prop 14 logo ... more than 50% of the vote, they are elected and there is no runoff in November.",https://medium.com/@firstcultural/vote-yes-on-proposition-14-keep-diverse-california-as-a-world-leader-in-medical-research-c89d3af30e13,9,
10/28/2020,prop 14,14,prop,prop 14.html,ad,California YES On Prop 14 | Life-Saving Treatments & Cures,"YES On Prop 14: Endorsed By Scientists, Doctors & 80+ Patient Advocate Groups. Learn More. Learn More: YES On 14 Dedicates Funding To Treatments For Brain Diseases Like...",https://caforcures.com/,0,"Paid for by YES ON 14: CALIFORNIANS FOR STEM CELL RESEARCH, TREATMENTS AND CURES"
10/28/2020,prop 14,14,prop,prop 14.html,knowledge,,"DescriptionDescriptionCalifornia Proposition 14 is a citizen-initiated ballot measure that will appear on the ballot in the 2020 California elections, for November 3, 2020. WikipediaLocation: CaliforniaBallot year: 2020Ballot text: Authorizes Bonds Continuing Stem Cell Research. Initiative Statute. * Authorizes $5.5 billion in state general obligation bonds to fund grants from the California Institute of Regenerative Medicine to educational, non‑profit, and private entities for: stem cell and other medical research, including training; stem cell therapy development and delivery; research facility construction; and associated administrative expenses. * Dedicates $1.5 billion to res... Authorizes Bonds Continuing Stem Cell Research. Initiative Statute.
* Authorizes $5.5 billion in state general obligation bonds to fund grants from the California Institute of Regenerative Medicine to educational, non-profit, and private entities for: stem cell and other medical research, including training; stem cell therapy development and delivery; research facility construction; and associated administrative expenses. 

* Dedicates $1.5 billion to research and therapy for Alzheimer’s, Parkinson’s, stroke, epilepsy, and other brain and central nervous system diseases and conditions.

* Appropriates General Fund moneys to pay bond debt service.

* Expands programs promoting stem cell and other medical research, therapy development and delivery, and student and physician training and fellowships.MoreLessSources include: Ballotpedia",,0,
10/28/2020,prop 14,14,prop,prop 14.html,general,"California Proposition 14, Stem Cell Research Institute Bond ...",The ballot initiative would establish training programs for undergraduate students and fellowships for graduate students related to advanced degrees and technical ...‎Proposition 71 · ‎Political action committee · ‎California Democratic Party,"https://ballotpedia.org/California_Proposition_14,_Stem_Cell_Research_Institute_Bond_Initiative_(2020)",0,
10/28/2020,prop 14,14,prop,prop 14.html,general,California Proposition 14: Stem cell research funding ...,"What would Proposition 14 do? Have California continue funding stem cell research, by borrowing up to $5.5 billion. Prop. 14 would generate the money to keep ...",https://calmatters.org/election-2020-guide/proposition-14-stem-cell-research/,1,
